Country or area,Subregion,Region,Internet users,Percentage,latitude,longitude
China,Eastern Asia,Asia,"1,03,20,00,000",0.72,35.86166,104.195397
India,Southern Asia,Asia,"83,68,60,000",0.6,20.593684,78.96288
United States,Northern America,Americas,"30,72,00,000",0.91,37.09024,-95.712891
Indonesia,South-eastern Asia,Asia,"19,60,00,000",0.72,-0.789275,113.921327
Brazil,South America,Americas,"16,53,00,000",0.77,-14.235004,-51.92528
Nigeria,Western Africa,Africa,"13,62,03,231",0.64,9.081999,8.675277
Pakistan,Southern Asia,Asia,"13,00,00,000",0.61,30.375321,69.345116
Russia,Eastern Europe,Europe,"12,98,00,000",0.9,61.52401,105.318756
Bangladesh,Southern Asia,Asia,"12,62,10,000",0.76,23.684994,90.356331
Japan,Eastern Asia,Asia,"11,74,00,000",0.94,36.204824,138.252924
Mexico,Northern America,Americas,"9,20,10,000",0.71,23.634501,-102.552784
Iran,Western Asia,Asia,"7,80,86,663",0.89,32.427908,53.688046
Germany,Western Europe,Europe,"7,77,94,405",0.93,51.165691,10.451526
Philippines,South-eastern Asia,Asia,"7,30,03,313",0.64,12.879721,121.774017
Turkey,Southern Europe,Europe,"6,99,45,905",0.83,38.963745,35.243322
Vietnam,South-eastern Asia,Asia,"6,81,72,134",0.7,14.058324,108.277199
United Kingdom,Northern Europe,Europe,"6,50,01,016",0.97,55.378051,-3.435973
France,Western Europe,Europe,"5,94,70,000",0.92,46.227638,2.213749
Egypt,Northern Africa,Africa,"5,47,40,141",0.5,26.820553,30.802498
